#t,v,theta0,theta1
0,7,1,-
0,7,1,-
0,7,1,-
0,7,1,-
0,7,1,-
0,7,1,-
1,7,1,-
1,7,1,-
1,7,1,-
1,7,1,-
1,7,2,-
1,7,2,-
1,7,2,-
1,7,2,-
1,7,2,-
1,7,2,-
1,7,2,-
1,7,3,-
1,7,3,-
1,7,3,-
1,7,3,-
1,7,3,-
1,7,3,-
1,7,4,-
1,7,4,-
1,7,4,-
1,7,4,-
1,7,4,-
1,7,5,-
1,7,5,-
1,7,5,-
1,7,5,-
1,7,5,-
1,7,5,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,6,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
1,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
2,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
3,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
4,7,7,-
